Name,ShapeQuery,TanimotoCombo,ShapeTanimoto,ColorTanimoto
CR3_2_237,mini_1o2h_model0_chainA_CR3_resi246__chainA_altB_1,0.953,0.773,0.18
762_23_278,mini_1o2l_model0_chainA_762_resi246__chainA_altB_1,1.02,0.675,0.345
762_31_44,mini_1o2l_model0_chainA_762_resi246__chainA_altB_1,0.982,0.727,0.255
762_14_36,mini_1o2l_model0_chainA_762_resi246__chainA_altB_1,0.952,0.768,0.184
950_13_60,mini_1o2o_model0_chainA_950_resi246__chainA_altA_1,0.992,0.737,0.255
950_11_17,mini_1o2o_model0_chainA_950_resi246__chainA_altA_1,0.973,0.715,0.258
950_15_7,mini_1o2o_model0_chainA_950_resi246__chainA_altA_1,0.954,0.78,0.174
972_23_14,mini_1o2p_model0_chainA_972_resi246__chainA_altA_1,1.047,0.68,0.367
972_13_43,mini_1o2p_model0_chainA_972_resi246__chainA_altA_1,0.965,0.68,0.285
972_17_299,mini_1o2p_model0_chainA_972_resi246__chainA_altA_1,0.934,0.738,0.196
991_15_26,mini_1o2q_model0_chainA_991_resi246__chainA_altB_1,1.066,0.836,0.23
991_23_212,mini_1o2q_model0_chainA_991_resi246__chainA_altB_1,1.001,0.798,0.203
991_21_52,mini_1o2q_model0_chainA_991_resi246__chainA_altB_1,0.934,0.71,0.223
CR9_16_102,mini_1o2r_model0_chainA_CR9_resi246__chainA_altA_1,0.919,0.653,0.267
CR9_30_155,mini_1o2r_model0_chainA_CR9_resi246__chainA_altA_1,0.913,0.706,0.207
CR9_23_109,mini_1o2r_model0_chainA_CR9_resi246__chainA_altA_1,0.897,0.711,0.186
783_29_195,mini_1o2t_model0_chainA_783_resi246__chainA_altA_1,0.939,0.669,0.27
783_6_64,mini_1o2t_model0_chainA_783_resi246__chainA_altA_1,0.931,0.718,0.213
783_31_95,mini_1o2t_model0_chainA_783_resi246__chainA_altA_1,0.915,0.668,0.248
780_19_75,mini_1o39_model0_chainA_780_resi246__chainA_altB_1,1.036,0.807,0.228
780_30_31,mini_1o39_model0_chainA_780_resi246__chainA_altB_1,0.958,0.767,0.192
780_25_102,mini_1o39_model0_chainA_780_resi246__chainA_altB_1,0.923,0.651,0.271
907_11_81,mini_1o3h_model0_chainA_907_resi246__chainA_altA_1,1.101,0.818,0.283
907_13_64,mini_1o3h_model0_chainA_907_resi246__chainA_altA_1,1.09,0.787,0.303
907_18_13,mini_1o3h_model0_chainA_907_resi246__chainA_altA_1,1.017,0.873,0.144
334_17_0,mini_1o3k_model0_chainA_334_resi246__chainA_altB_1,1.071,0.797,0.275
334_8_1,mini_1o3k_model0_chainA_334_resi246__chainA_altB_1,1.067,0.682,0.385
334_14_174,mini_1o3k_model0_chainA_334_resi246__chainA_altB_1,0.981,0.792,0.189
785_20_34,mini_1o3m_model0_chainA_785_resi246__chainA_altB_1,1.109,0.681,0.427
785_11_3,mini_1o3m_model0_chainA_785_resi246__chainA_altB_1,0.983,0.697,0.286
785_22_141,mini_1o3m_model0_chainA_785_resi246__chainA_altB_1,0.979,0.818,0.161
N20_20_35,mini_1oi9_model0_chainA_N20_resi1298__chainA_altB_1,0.993,0.713,0.28
N20_6_6,mini_1oi9_model0_chainA_N20_resi1298__chainA_altB_1,0.909,0.533,0.376
N20_12_23,mini_1oi9_model0_chainA_N20_resi1298__chainA_altB_1,0.896,0.675,0.221
HDT_27_148,mini_1oit_model0_chainA_HDT_resi1299__chainA_1,0.936,0.786,0.15
HDT_20_21,mini_1oit_model0_chainA_HDT_resi1299__chainA_1,0.929,0.725,0.204
HDT_22_23,mini_1oit_model0_chainA_HDT_resi1299__chainA_1,0.858,0.611,0.246
N41_5_1,mini_1oiy_model0_chainA_N41_resi1298__chainA_altA_1,0.872,0.598,0.274
N41_28_4,mini_1oiy_model0_chainA_N41_resi1298__chainA_altA_1,0.859,0.723,0.136
N41_18_106,mini_1oiy_model0_chainA_N41_resi1298__chainA_altA_1,0.852,0.597,0.256
968_24_30,mini_1onz_model0_chainA_968_resi322__chainA_1,0.964,0.645,0.319
968_28_28,mini_1onz_model0_chainA_968_resi322__chainA_1,0.896,0.652,0.245
968_15_37,mini_1onz_model0_chainA_968_resi322__chainA_1,0.893,0.57,0.323
CO4_19_212,mini_1pd8_model0_chainA_CO4_resi301__chainA_1,1.082,0.775,0.307
CO4_6_58,mini_1pd8_model0_chainA_CO4_resi301__chainA_1,1.045,0.787,0.258
CO4_31_57,mini_1pd8_model0_chainA_CO4_resi301__chainA_1,1.035,0.72,0.315
CK4_19_181,mini_1pxl_model0_chainA_CK4_altA_resi500__chainA_altB_1,1.146,0.761,0.385
CK4_5_187,mini_1pxl_model0_chainA_CK4_altA_resi500__chainA_altB_1,1.116,0.729,0.387
CK4_28_83,mini_1pxl_model0_chainA_CK4_altA_resi500__chainA_altB_1,1.064,0.637,0.427
CK6_14_277,mini_1pxn_model0_chainA_CK6_altA_resi500__chainA_altB_1,1.268,0.791,0.477
CK6_17_280,mini_1pxn_model0_chainA_CK6_altA_resi500__chainA_altB_1,1.067,0.768,0.299
CK6_29_186,mini_1pxn_model0_chainA_CK6_altA_resi500__chainA_altB_1,1.048,0.726,0.322
CK8_8_59,mini_1pxp_model0_chainA_CK8_altA_resi500__chainA_altA_1,1.091,0.664,0.427
CK8_29_130,mini_1pxp_model0_chainA_CK8_altA_resi500__chainA_altA_1,1.083,0.742,0.341
CK8_21_184,mini_1pxp_model0_chainA_CK8_altA_resi500__chainA_altA_1,1.061,0.821,0.24
TMU_12_199,mini_1q5k_model0_chainB_TMU_resi902__chainB_1,1.119,0.789,0.33
TMU_16_212,mini_1q5k_model0_chainB_TMU_resi902__chainB_1,1.08,0.735,0.345
TMU_31_18,mini_1q5k_model0_chainB_TMU_resi902__chainB_1,1.03,0.724,0.306
ZPR_5_79,mini_1qfs_model0_chainA_ZPR_resi791__chainA_1,1.041,0.738,0.303
ZPR_13_68,mini_1qfs_model0_chainA_ZPR_resi791__chainA_1,0.991,0.618,0.372
ZPR_31_44,mini_1qfs_model0_chainA_ZPR_resi791__chainA_1,0.943,0.681,0.263
PP2_8_1,mini_1qpe_model0_chainA_PP2_resi1904__chainA_1,1.029,0.719,0.31
PP2_24_71,mini_1qpe_model0_chainA_PP2_resi1904__chainA_1,0.974,0.569,0.405
PP2_25_77,mini_1qpe_model0_chainA_PP2_resi1904__chainA_1,0.946,0.752,0.194
RDI_18_176,mini_1qy8_model0_chainA_RDI_resi338__chainA_1,0.936,0.664,0.272
RDI_1_20,mini_1qy8_model0_chainA_RDI_resi338__chainA_1,0.905,0.593,0.312
RDI_32_148,mini_1qy8_model0_chainA_RDI_resi338__chainA_1,0.878,0.585,0.293
B1L_8_51,mini_1rej_model0_chainA_B1L_resi351__chainA_1,0.981,0.752,0.229
B1L_22_227,mini_1rej_model0_chainA_B1L_resi351__chainA_1,0.944,0.67,0.273
B1L_9_78,mini_1rej_model0_chainA_B1L_resi351__chainA_1,0.906,0.667,0.239
PG2_11_5,mini_1ry0_model0_chainA_PG2_resi2325__chainA_1,0.897,0.667,0.231
PG2_10_55,mini_1ry0_model0_chainA_PG2_resi2325__chainA_1,0.807,0.534,0.273
PG2_24_292,mini_1ry0_model0_chainA_PG2_resi2325__chainA_1,0.795,0.573,0.222
TQD_8_80,mini_1s3u_model0_chainA_TQD_resi187__chainA_1,0.957,0.666,0.291
TQD_12_219,mini_1s3u_model0_chainA_TQD_resi187__chainA_1,0.934,0.688,0.245
TQD_7_5,mini_1s3u_model0_chainA_TQD_resi187__chainA_1,0.931,0.697,0.235
NDR_14_14,mini_1sqn_model0_chainA_NDR_resi1001__chainA_1,1.027,0.724,0.303
NDR_21_23,mini_1sqn_model0_chainA_NDR_resi1001__chainA_1,1.008,0.703,0.306
NDR_5_13,mini_1sqn_model0_chainA_NDR_resi1001__chainA_1,0.986,0.718,0.269
MOB_19_5,mini_1srh_model0_chainB_MOB_resi300__chainA_altB_1,1.211,0.815,0.397
MOB_25_11,mini_1srh_model0_chainB_MOB_resi300__chainA_altB_1,1.01,0.752,0.258
